SimpleName	Norm_Acute_Neg	Norm_Acute_Low	Norm_Acute_M1	Norm_Acute_M2	Norm_Acute_High	Norm_Chronic_Neg	Norm_Chronic_Low	Norm_Chronic_M1	Norm_Chronic_M2	Norm_Chronic_High
-10	-0.1433420384345089	-0.15878791310275486	-0.1261803776064488	-0.3807592651948939	-0.4906043107591304	0.17129669948615658	0.008692850878666851	-0.1303285607987228	-0.32065442970525626	-2.124154235667941
-100	0.105815227469151	0.47197867760180634	0.7389154070693493	-0.3218530450431737	-0.014502446325917292	0.35920331361573804	0.0214113237394214	-0.4780247659373421	-0.5290942059846534	0.2321856130538205
-102	0.11580447574048705	0.5543581049076336	0.7160796284375515	-0.29735335078418107	0.15247177191751116	0.4745026917166209	0.21310292974767772	-0.378549476607819	0.3079190542077327	-0.5719112266102312
-105	0.4216375043071793	0.4750992276844689	0.3635942211761862	-0.5365080693806791	-0.4318991696737623	-0.11447254405358823	-0.18561996577072126	-0.19385882387873582	-0.35662353245285305	-0.3251388213353365
-108	0.013727227817109385	0.17553843774451608	0.3570189915706438	0.15700201700084362	-0.17311666206537613	-0.544592897856852	-0.9309561054198288	-0.8759732670505248	0.3723535522786182	-0.12825631622079642
-110	0.2678279185902051	0.2744925153067247	0.2340507552885415	-0.6347350376946802	-0.06665114265612304	0.38695281250413277	0.5031938094049296	0.5317276403484236	-0.1512637430038256	-0.10710396051274385
-118	0.34800315977910307	0.4615511719696738	0.5024165057939327	0.053343673719533184	-0.47479154812686575	0.19885653272760465	0.051569695331439076	-0.055727202065313855	-0.4061695796767844	-0.026914955807411763
-120	0.43310794295494986	0.7394109615313554	0.8709657854749261	0.19188444600450932	-0.1522175437069501	0.63509846058967	0.526400269972488	0.1883086311471287	0.30194403937086617	-0.6964960196073768
-122	-0.24414126685428192	-0.053273393574390565	0.05210070172555279	-0.2093152245957239	-0.7722092192991331	0.296994231474354	0.2268045325855458	-0.40753148354423224	0.03627101631213215	-0.5787750654631182
-131	-0.21530562792410057	0.023500780443387805	0.2862786901253382	0.4389772492387497	-0.24534264193579913	0.38481133989088007	0.29981469722055215	-0.06800556903075042	-0.5278783341747134	-0.3467011685605872
-15	1.076405441213701	1.3400425823512832	1.2289654898128743	-0.029687873623937638	-0.0529416453573161	0.7062977985778951	0.342662283503598	-0.29924632697972553	0.021711981030649807	-0.2836815559889802
-22	0.5901594059719756	0.8052698157599296	0.834370816942684	-0.11479358277645632	-0.9975517277780183	0.06842643881271672	0.06927143195130951	0.10182187422511202	-0.3332425914207997	-0.6088814334971775
-30	0.6910151393073084	0.9584023942153655	0.9361915407630631	-0.13528727747119593	-0.8395250682042422	0.16891897770490272	-0.009463596919799463	-0.27278561465552537	-0.1781925984687524	0.20528991593804
-39	0.09540152694396871	0.08096298866223682	0.09949572707811329	0.1439145445069037	-0.8707546681569708	0.45564555801059853	0.5174436737701282	0.4101240162601983	-0.2897557211242763	-0.5266947475702081
-4	0.6444178301698322	0.9585486283651933	1.0641619961866613	0.02704406791227378	-1.1493935122183523	0.24647878708579699	0.40827073089400595	0.5722301442981454	0.11295603863606365	0.22331289016689124
