SimpleName	n_pairs	meanZ	tval	pval
-10	10	0.06511196587912893	0.3111458711218404	0.7586273968102099
-100	10	0.22258223086577336	0.8011816149708937	0.43582441958241014
-102	10	0.28106732616508945	1.1982536879920234	0.2462569732885237
-105	10	0.07587669482651899	0.3444324320696514	0.734112127529807
-108	10	-0.3062618457392945	-1.186782276230002	0.2527173295794892
-110	10	0.3457169169032253	1.930630166440151	0.06299657297928501
-118	10	0.2758404063692677	1.467325137206935	0.15376659769273118
-120	10	0.385214023724356	2.2834990491175287	0.028798456697136297
-122	10	0.12278276902054777	0.4982314395828762	0.6247449634145807
-131	10	0.38653277999932306	1.5481212776229896	0.14044230980198
-15	10	0.3596472542001859	1.653546941982708	0.11347708510801084
-22	10	0.1518442249532423	0.7071499188964855	0.487271801856453
-30	10	0.05462355554288864	0.3028627948623599	0.7641089481694714
-39	10	0.4099328483609555	1.7533666685958798	0.0963572238261078
-4	10	0.3415736996315898	1.648258122590356	0.11329403504045886
-44	10	0.044029133604006364	0.2102142479229789	0.8354439602345338
-50	10	0.028131463474816883	0.11718218150782786	0.9080487842774879
-64	10	0.33112487870149127	1.6992024381476223	0.10158570707602683
-72	10	-0.09455964502812231	-0.34189232259030033	0.7372629737615406
-75	10	0.4060791991919253	1.6839505412301774	0.1100380984352281
-77	10	0.254588988829269	1.503612068043189	0.14201411118453336
-81	10	0.15763433676185293	0.5712721004027498	0.576411497908796
0	10	0.541745954777242	2.781513326635602	0.010087241224691271
116	10	-0.031254259621393325	-0.08655786772507844	0.9324604959488461
117	10	0.3449064842924934	1.4297114841016716	0.17051365869049875
122	10	-0.05785116254053631	-0.20821354003419368	0.8379285573554016
127	10	0.09935743726098714	0.4530117839434639	0.6553746402978171
141	10	0.6473674136812185	3.823929654465125	5.410956504279625e-4
148	10	0.4599091742238839	2.324613759429911	0.028704778107312024
158	10	0.08652299089882828	0.32256554383820946	0.7514127357759346
161	10	0.16209755183938895	0.732449748673743	0.47244653900528577
169	7	0.05878624500507371	0.3688526740525583	0.7147651193181882
170	10	0.37024814804519973	2.0331010477531195	0.05126727052927202
216	10	0.2368147768750045	1.1014132329986528	0.2832496007262584
22	10	0.04162714155993041	0.24206220912996035	0.8102453304239087
259	10	-0.022816498405323942	-0.042465026871762235	0.9669489811766832
332	10	0.3462578437018425	1.3528076328136882	0.19482750585545863
356	10	0.05142757368962089	0.156348788460432	0.8782239890148991
38	10	0.2363987075157863	1.1152103410605905	0.27711472158513617
40	10	0.32506924090066047	1.616946021726811	0.11913149865700377
400	10	-0.2002681731976803	-0.6360861709629954	0.535690584398643
46	10	0.22974817588049332	1.1970016969074702	0.24209800621193062
461	10	0.29612537350542034	1.6519654383926727	0.108959896734737
462	10	-0.6180422567438629	-2.6872427583479914	0.014732805920542692
468	10	0.2896175904266425	1.4287995559014837	0.16632740410802205
481	10	0.026407962065428604	0.08246909837648198	0.9355384305125329
51	10	0.5187213343262419	2.7274144287624855	0.011175667418780897
53	10	-0.23203299751210363	-0.6470562824467612	0.5298147507492805
6	10	0.5014088083623334	2.3120114359785546	0.03123679525612214
65	10	-0.09918356772462683	-0.43988291309685945	0.6649163957002289
78	10	0.3668554487528499	1.9054097239484291	0.06790564249156016
ClosedChromatinRegion	30	-0.17327274037250334	-0.6752535565967328	0.5027853921213821
sgIFNG	6	1.1918636025802354	3.764100138089503	0.006548222168745092
NonTargeting	30	1.4103663260415603e-18	0	1
